time, mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
11-07 18:30:01.935,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:02.435,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:02.477,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:02.917,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:02.940,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:03.425,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:03.438,24287483025949,495,16169,675,310260,26,-87,-5,2147483647,2147483647,2147483647
11-07 18:30:04.016,24289568249177,495,16169,675,310260,25,-92,-8,2147483647,2147483647,2147483647
11-07 18:30:04.033,24289568249177,495,16169,675,310260,25,-92,-8,2147483647,2147483647,2147483647
11-07 18:30:04.509,24289568249177,495,16169,675,310260,25,-92,-8,2147483647,2147483647,2147483647
11-07 18:30:04.520,24289568249177,495,16169,675,310260,25,-92,-8,2147483647,2147483647,2147483647
11-07 18:30:05.416,24289568249177,495,16169,675,310260,25,-92,-8,2147483647,2147483647,2147483647
11-07 18:30:05.423,24289568249177,495,16169,675,310260,25,-92,-8,2147483647,2147483647,2147483647
11-07 18:30:06.163,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:06.168,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:06.617,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:06.634,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:07.129,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:07.137,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:07.650,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:07.677,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:08.136,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:08.144,24291508882391,495,16169,675,310260,25,-89,-6,2147483647,2147483647,2147483647
11-07 18:30:08.961,24294306036107,495,16169,675,310260,24,-91,-7,2147483647,2147483647,2147483647
11-07 18:30:08.983,24294306036107,495,16169,675,310260,24,-91,-7,2147483647,2147483647,2147483647
11-07 18:30:19.620,24295048004046,495,16169,675,310260,24,-91,-6,2147483647,2147483647,2147483647
11-07 18:30:19.622,24295048004046,495,16169,675,310260,24,-91,-6,2147483647,2147483647,2147483647
