mTimeStamp, mPci, mTac, mEarfcn, mMcc+mMnc, ss, rsrp, rsrq, rssnr, cqi, ta
51146019955092,46,16185,675,310260,22,-105,-14,2147483647,2147483647,2147483647
51146428174716,46,16185,675,310260,21,-106,-16,2147483647,2147483647,2147483647
51147477650237,46,16185,675,310260,21,-107,-16,2147483647,2147483647,2147483647
51149898874437,46,16185,675,310260,24,-101,-16,2147483647,2147483647,2147483647
51151963857611,46,16185,675,310260,26,-100,-18,2147483647,2147483647,2147483647
51153016284487,46,16185,675,310260,24,-103,-17,2147483647,2147483647,2147483647
51154150012725,46,16185,675,310260,24,-102,-17,2147483647,2147483647,2147483647
51154853266180,46,16185,675,310260,27,-92,-13,2147483647,2147483647,2147483647
51155479154732,46,16185,675,310260,28,-92,-15,2147483647,2147483647,2147483647
51155491933275,46,16185,675,310260,28,-92,-15,2147483647,2147483647,2147483647
51158159021926,46,16185,675,310260,27,-93,-14,2147483647,2147483647,2147483647
51158826542618,46,16185,675,310260,28,-93,-17,2147483647,2147483647,2147483647
51159489856694,46,16185,675,310260,28,-94,-17,2147483647,2147483647,2147483647
51159898422099,46,16185,675,310260,28,-93,-17,2147483647,2147483647,2147483647
51160366871990,46,16185,675,310260,26,-94,-13,2147483647,2147483647,2147483647
51162683488575,46,16185,675,310260,27,-94,-15,2147483647,2147483647,2147483647
51163186002166,46,16185,675,310260,26,-94,-13,2147483647,2147483647,2147483647
51163969304849,46,16185,675,310260,28,-95,-17,2147483647,2147483647,2147483647
51163975565787,46,16185,675,310260,28,-95,-17,2147483647,2147483647,2147483647
51166467200514,46,16185,675,310260,27,-95,-16,2147483647,2147483647,2147483647
51166987066556,46,16185,675,310260,26,-94,-14,2147483647,2147483647,2147483647
51167623136411,46,16185,675,310260,28,-94,-17,2147483647,2147483647,2147483647
51168294622623,46,16185,675,310260,27,-95,-15,2147483647,2147483647,2147483647
51168302999916,46,16185,675,310260,27,-95,-15,2147483647,2147483647,2147483647
51169457689510,46,16185,675,310260,27,-94,-14,2147483647,2147483647,2147483647
51169814349962,46,16185,675,310260,27,-91,-13,2147483647,2147483647,2147483647
51171983719762,46,16185,675,310260,27,-92,-13,2147483647,2147483647,2147483647
51174495005429,46,16185,675,310260,27,-92,-13,2147483647,2147483647,2147483647
51177009761200,46,16185,675,310260,27,-91,-13,2147483647,2147483647,2147483647
51179486846915,46,16185,675,310260,28,-92,-15,2147483647,2147483647,2147483647
51181525830191,46,16185,675,310260,26,-93,-14,2147483647,2147483647,2147483647
51184025073461,46,16185,675,310260,27,-94,-16,2147483647,2147483647,2147483647
51186543229650,46,16185,675,310260,27,-95,-17,2147483647,2147483647,2147483647
51189043467451,46,16185,675,310260,27,-94,-15,2147483647,2147483647,2147483647
51191555548951,46,16185,675,310260,27,-96,-16,2147483647,2147483647,2147483647
51194037137532,46,16185,675,310260,27,-97,-18,2147483647,2147483647,2147483647
51196190441809,46,16185,675,310260,25,-99,-16,2147483647,2147483647,2147483647
51196207616498,46,16185,675,310260,25,-99,-16,2147483647,2147483647,2147483647
51197082582835,46,16185,675,310260,27,-93,-15,2147483647,2147483647,2147483647
51199207208932,46,16185,675,310260,28,-95,-18,2147483647,2147483647,2147483647
51200192998353,46,16185,675,310260,26,-96,-16,2147483647,2147483647,2147483647
51200517767396,46,16185,675,310260,26,-95,-12,2147483647,2147483647,2147483647
51201313763673,46,16185,675,310260,28,-95,-17,2147483647,2147483647,2147483647
51201616637870,46,16185,675,310260,28,-96,-17,2147483647,2147483647,2147483647
51203440498677,46,16185,675,310260,27,-96,-18,2147483647,2147483647,2147483647
51203786193346,46,16185,675,310260,26,-96,-13,2147483647,2147483647,2147483647
51204982175549,46,16185,675,310260,26,-95,-14,2147483647,2147483647,2147483647
51205334783136,46,16185,675,310260,26,-95,-14,2147483647,2147483647,2147483647
51206036689873,46,16185,675,310260,27,-95,-15,2147483647,2147483647,2147483647
51206895868604,46,16185,675,310260,28,-95,-16,2147483647,2147483647,2147483647
51207563620337,46,16185,675,310260,28,-95,-17,2147483647,2147483647,2147483647
51207938019906,46,16185,675,310260,27,-96,-17,2147483647,2147483647,2147483647
51208342823540,46,16185,675,310260,28,-96,-17,2147483647,2147483647,2147483647
51209214351231,46,16185,675,310260,26,-96,-16,2147483647,2147483647,2147483647
51209248607120,46,16185,675,310260,26,-96,-16,2147483647,2147483647,2147483647
51211689836894,46,16185,675,310260,27,-96,-17,2147483647,2147483647,2147483647
51212788946847,46,16185,675,310260,26,-96,-16,2147483647,2147483647,2147483647
51213174824021,46,16185,675,310260,27,-96,-17,2147483647,2147483647,2147483647
51213923638054,46,16185,675,310260,26,-96,-16,2147483647,2147483647,2147483647
51214678122661,46,16185,675,310260,28,-95,-18,2147483647,2147483647,2147483647
51214685787036,46,16185,675,310260,28,-95,-18,2147483647,2147483647,2147483647
51215799622460,46,16185,675,310260,26,-96,-16,2147483647,2147483647,2147483647
51216181195987,46,16185,675,310260,26,-96,-15,2147483647,2147483647,2147483647
